Timestamp,Source IP,Destination IP,Source Port,Destination Port,Packet Size (bytes),Packet Rate (pps),Connection Duration (seconds),Protocol,Request Type,Anomaly Score,Attack Type
2023-10-01 19:02:39.667983399,86.235.78.88,244.46.115.144,46883,143,256,286,7,SCTP,PUT,0.03,Normal
2023-10-01 20:31:35.134756737,233.8.230.194,179.1.209.56,29521,21,4096,496,24,TCP,ACK,0.46,Normal
2023-10-01 13:53:41.621081054,185.211.190.65,116.56.150.120,46892,443,2048,109,5,UDP,ACK,0.69,Normal
2023-10-01 23:08:59.126956347,60.157.36.32,30.35.215.189,35109,254,768,471,17,ICMP,POST,0.26,Normal
2023-10-01 12:45:47.657382869,154.213.110.197,126.202.23.198,28582,8080,512,324,1,SCTP,ACK,0.53,Normal
2023-10-01 13:45:07.515375768,27.58.158.84,246.193.178.137,1529,22,2048,425,28,ICMP,ACK,0.9,Botnet
2023-10-01 22:30:23.491174558,140.214.110.162,91.182.250.64,27506,8081,128,345,28,UDP,DELETE,0.55,Normal
2023-10-01 13:36:16.128806440,65.176.195.98,158.166.16.198,65118,80,512,64,8,SCTP,POST,0.01,DDoS
2023-10-02 03:51:10.053502675,163.80.164.217,225.125.208.69,24019,443,256,482,15,IGMP,SYN,0.11,Normal
2023-10-01 22:17:21.532076603,52.250.24.235,202.28.211.155,16937,3306,768,260,5,UDP,POST,0.21,Normal
2023-10-02 04:40:29.401470073,76.240.59.38,187.106.213.156,6853,21,768,56,7,SCTP,PUT,0.03,Normal
2023-10-02 10:01:11.643582179,51.135.220.73,43.45.181.42,56481,21,1024,491,17,SCTP,PUT,0.16,Normal
2023-10-01 20:19:07.737386869,234.17.138.80,31.159.122.57,19169,53,512,493,24,ICMP,DELETE,0.79,Botnet
2023-10-02 07:42:52.508625431,211.148.207.198,165.96.25.47,21205,25,64,345,24,SCTP,PATCH,0.72,Botnet
2023-10-01 22:33:42.221111055,240.227.241.224,192.164.35.76,61174,139,512,223,1,UDP,ACK,0.29,DDoS
2023-10-02 02:58:31.975598779,186.209.227.69,243.132.184.210,36766,25,128,193,11,TCP,GET,0.64,Normal
2023-10-01 16:01:12.723636181,237.143.148.177,143.66.243.4,5746,80,128,484,1,SCTP,PATCH,0.9,DDoS
2023-10-02 10:55:16.125806290,123.196.140.126,243.149.149.17,58949,5432,256,468,19,IGMP,DELETE,0.68,Normal
2023-10-02 01:57:45.713285664,100.149.228.107,174.233.167.77,59002,25,1024,428,14,TCP,POST,0.93,Botnet
2023-10-02 08:09:56.909845492,78.252.99.111,79.144.162.74,32658,25,4096,352,15,TCP,SYN,0.65,Normal
